Label,File,Mean Offset (µs),Mean Absolute Offset (µs),Std Dev of Offset (µs),Data Points
a0_b0,timeError_a0_b0_20250222_105437.log,-44.488,44.489,13.310,7100
a2_b0,timeError_a2_b0_20250222_225514.log,-39.963,51.441,52.083,7163
a1_b0,timeError_a1_b0_20250222_165456.log,-50.002,65.410,55.294,7120
a1_b1,timeError_a1_b1_20250222_185502.log,-103.129,103.129,33.113,6883
a2_b2,timeError_a2_b2_20250223_025527.log,-111.512,112.651,49.859,7163
a1_b2,timeError_a1_b2_20250222_205508.log,-136.059,139.449,128.414,6993
a2_b1,timeError_a2_b1_20250223_005521.log,-58.010,166.980,173.357,7145
a0_b1,timeError_a0_b1_20250222_125443.log,185.951,185.951,31.892,7162
a0_b2,timeError_a0_b2_20250222_145455（未同步锁定）.log,182.612,361.784,336.857,7000
Chrony,timeError.log,-344.017,650.647,899.902,7155
