,,min,max,mean,std,q25,q75,log_name
log0-original_cpu1,自估上行时延,50.914659678936005,166.10840833187103,86.61553311630072,8.137812032956635,82.58343525230885,88.21818515658379,log0-original_cpu1
log0-original_cpu1,自估下行时延,29.422923386096954,117.15934032201768,81.98377070200809,11.162553682812147,82.25224103033543,87.37172336876392,log0-original_cpu1
log0-original_cpu1,上下行均值,40.16879153251648,141.63387432694435,84.2996519091544,9.650182857884392,82.41783814132214,87.79495426267385,log0-original_cpu1
log0-original_cpu2,自估上行时延,51.11542081832886,166.69323456287384,87.59707507634702,8.49373672652622,83.15896555781364,90.20837907493114,log0-original_cpu2
log0-original_cpu2,自估下行时延,28.296102464199063,118.64795470237732,83.70474373879357,11.502237230807513,83.30283477902412,88.84597362577915,log0-original_cpu2
log0-original_cpu2,上下行均值,39.70576164126396,142.67059463262558,85.6509094075703,9.997986978666866,83.23090016841888,89.52717635035515,log0-original_cpu2
log0-original_cpu3,自估上行时延,61.689111828804016,140.7637563943863,87.87262835174361,5.777203726624757,84.12431725859642,90.26699075102806,log0-original_cpu3
log0-original_cpu3,自估下行时延,41.60011023283005,122.36417412757874,86.99476363938923,5.070443996907969,84.71916419267654,89.13422502577305,log0-original_cpu3
log0-original_cpu3,上下行均值,51.64461103081703,131.5639652609825,87.43369599556642,5.423823861766363,84.42174072563648,89.70060788840055,log0-original_cpu3
log0-original_cpu4,自估上行时延,43.35573756694794,176.5704316496849,87.72739063696817,11.613954885771085,82.81771764159203,90.18100768327712,log0-original_cpu4
log0-original_cpu4,自估下行时延,28.04952824115753,134.4539374113083,78.92918145257488,15.963470430830196,66.53129142522812,88.67860725522041,log0-original_cpu4
log0-original_cpu4,上下行均值,35.702632904052734,155.5121845304966,83.32828604477152,13.78871265830064,74.67450453341007,89.42980746924877,log0-original_cpu4
log0-original_100M,自估上行时延,17.937178254127502,1185.6076737046242,152.69958950312662,210.23464594622692,80.30765196681023,95.59379315376282,log0-original_100M
log0-original_100M,自估下行时延,23.62733924388885,1168.88340818882,114.59497890837116,168.77205141834742,73.03034418821335,89.13528783619404,log0-original_100M
log0-original_100M,上下行均值,20.78225874900818,1177.245540946722,133.6472842057489,189.5033486822872,76.66899807751179,92.36454049497844,log0-original_100M
log0-original_200M,自估上行时延,26.49059510231018,1937.0208849310875,205.1299805528072,262.01957150125537,82.46156647801399,115.52929903566836,log0-original_200M
log0-original_200M,自估下行时延,26.51511162519455,1238.428634762764,225.6503541636675,278.8989247819736,82.48581756651402,195.121765807271,log0-original_200M
log0-original_200M,上下行均值,26.502853363752365,1587.7247598469255,215.39016735823736,270.45924814161447,82.473692022264,155.3255324214697,log0-original_200M
log0-original_300M,自估上行时延,25.84333449602127,1280.6151570677755,268.9911309094085,308.76592703141824,83.50144052505493,382.3468323945999,log0-original_300M
log0-original_300M,自估下行时延,27.275854349136356,1261.1898622512815,204.47593517194372,230.84704543559587,84.35032397508621,233.8361374735832,log0-original_300M
log0-original_300M,上下行均值,26.55959442257881,1270.9025096595287,236.73353304067612,269.80648623350703,83.92588225007057,308.0914849340916,log0-original_300M
log0-original_400M,自估上行时延,7.740888357162476,1537.50692653656,325.8979511832549,340.3957577862785,78.0750258564949,582.3120731115341,log0-original_400M
log0-original_400M,自估下行时延,30.844987511634827,1324.6157898902893,217.81422190395608,217.123853992368,88.75858102738857,288.4811063408852,log0-original_400M
log0-original_400M,上下行均值,19.29293793439865,1431.061358213425,271.8560865436055,278.7598058893233,83.41680344194174,435.3965897262096,log0-original_400M
log0-original_500M,自估上行时延,-32.9811817407608,1265.618031561375,367.5651682958819,352.8027443871095,80.19907787442207,652.557444602251,log0-original_500M
log0-original_500M,自估下行时延,-20.38314539194107,1366.041581273079,290.8658470828998,225.51631303629088,131.7205580174923,417.6139156669378,log0-original_500M
log0-original_500M,上下行均值,-26.682163566350937,1315.8298064172268,329.21550768939085,289.1595287117002,105.95981794595718,535.0856801345944,log0-original_500M
log0-original_600M,自估上行时延,-36.28667634725571,2113.62045365572,447.597587195924,374.4679771629889,86.3362026810646,759.4474179446697,log0-original_600M
log0-original_600M,自估下行时延,-5.556057989597321,1442.5014988780022,369.8150718961761,299.9817410883527,138.39070704579353,527.4689185917377,log0-original_600M
log0-original_600M,上下行均值,-20.921367168426517,1778.060976266861,408.70632954605,337.22485912567083,112.36345486342908,643.4581682682037,log0-original_600M
