category,load_level,load_label,delay_type,n_components,bic,aic,weights_mean,weights_std,weights,means,stds
CPU负载,1,CPU1,上行时延,5,-42347.26505172598,-42457.192823661346,0.2,0.16997948103062654,"[0.03645932533748121, 0.36323342703235634, 0.12269023407814694, 0.03621850753598155, 0.44139850601603403]","[4.693337140618884, 4.375970738537243, 4.5486269089587585, 4.182885226491737, 4.438038948811426]","[0.10526642570224705, 0.031390597645872945, 0.057723349374897794, 0.13096227987295517, 0.031248727163877315]"
CPU负载,1,CPU1,下行时延,5,-37867.14017466489,-37977.067946600255,0.2,0.20852120832216528,"[0.1047915324757614, 0.5783796018867711, 0.01709812872393781, 0.26538514839106186, 0.03434558852246795]","[4.199694232263247, 4.464236487296961, 3.73407472422331, 4.516247270029855, 4.035554254866419]","[0.07329717304478148, 0.035394517325151885, 0.12370345288226026, 0.06467749953877124, 0.08604904263560005]"
CPU负载,2,CPU2,上行时延,5,-37305.80397978979,-37415.73175172515,0.2,0.14557757773032734,"[0.24397080845246386, 0.18272386069472268, 0.4522653023451576, 0.0361772217980479, 0.08486280670960784]","[4.365495904279285, 4.5266416660766495, 4.437852997863587, 4.190461193300973, 4.637583085650191]","[0.03390035975718114, 0.04878425565084946, 0.028471872793316273, 0.13928001327991912, 0.10092697188365161]"
CPU负载,2,CPU2,下行时延,5,-37016.66577194748,-37126.593543882846,0.2,0.13093992941076568,"[0.36643365896374197, 0.10474430725172348, 0.03318234873624059, 0.15685030838704525, 0.3387893766612486]","[4.496702135212935, 4.198322645072967, 3.8390214058498517, 4.576865612064523, 4.445256725404346]","[0.030223774043546415, 0.10591614145698848, 0.17055471288362806, 0.052594865184345405, 0.024996379645705915]"
CPU负载,3,CPU3,上行时延,5,-55613.064164685944,-55722.99193662131,0.2,0.16388213499543114,"[0.5182932365810776, 0.11091769800367088, 0.16019496779096887, 0.15782699910023223, 0.05276709852405033]","[4.434067411719514, 4.570268092575501, 4.43157039329737, 4.497578116625914, 4.616527967934407]","[0.02050952927579774, 0.03541857405076274, 0.05631423893433581, 0.025668840520704873, 0.064492450499636]"
CPU负载,3,CPU3,下行时延,5,-65592.54464789155,-65702.47241982693,0.2,0.19109925737474795,"[0.3047664449717702, 0.008766191239215116, 0.15878021015905963, 0.013646476946563625, 0.5140406766833915]","[4.488089325484931, 4.165724746934877, 4.541499060471223, 4.1370547049295086, 4.448044600455913]","[0.02492547282400689, 0.30908346687660565, 0.04290228682051841, 0.09566665250848168, 0.018111904288690212]"
CPU负载,4,CPU4,上行时延,5,-30279.251488295813,-30389.178523214516,0.19999999999999996,0.145223203241096,"[0.3221410876300958, 0.05022951329776254, 0.08683915430397733, 0.11975826382357455, 0.42103198094458966]","[4.431836589779409, 4.752316855668139, 4.15766342967529, 4.566849990118081, 4.3667720454123975]","[0.041179244419198825, 0.11608977944644898, 0.14769316410730524, 0.0677777207838018, 0.034541834542381175]"
CPU负载,4,CPU4,下行时延,5,-19838.96852025803,-19948.895555176732,0.2,0.16689342145271294,"[0.5102637382295165, 0.05638713474482157, 0.05139275202881649, 0.19910000819369422, 0.1828563668031512]","[4.510084127484046, 4.031145467285339, 3.742277327883614, 4.556835048607041, 4.219899225716636]","[0.04533723247247539, 0.07578583126060434, 0.11572752850302402, 0.0885081671287138, 0.06464527827982115]"
网络流量负载,100,网络100M,上行时延,5,12545.023026812369,12435.100414808612,0.2,0.1911599173760881,"[0.28830113221769516, 0.05626216031683194, 0.5377867212195568, 0.07091381818432843, 0.04673616806158773]","[4.325790792594117, 5.59235523956706, 4.151193009002154, 6.685303072290617, 3.792455782134113]","[0.1927731883933647, 0.6195928503478376, 0.14184292586047156, 0.25692212499152767, 0.4813748837714126]"
网络流量负载,100,网络100M,下行时延,5,-3675.9314021220744,-3785.854751375363,0.19999999999999998,0.14093878515588049,"[0.05094743923023731, 0.15307566824749505, 0.42093091143819517, 0.07399253677588948, 0.3010534443081829]","[6.680289379233265, 4.3593380744568115, 4.696602458226717, 4.016022697423785, 4.577705217659528]","[0.46697462924964195, 0.10088637918774489, 0.07368235059365597, 0.16661884802845048, 0.06654837638740274]"
